idsp,sku,name,brand_name,price,short_description
134018636,2683576616357,Máy tính xách tay - Laptop Asus ExpertBook B1400 (Chip Intel Core i5-1135G7 | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng,Asus,19550000,"ASUS ExpertBook B1400 được thiết kế dành cho doanh nghiệp, khiến đây là lựa chọn thông minh cho các startup tham vọng, những tổ chức giáo dục uy tín và các công ty đang phát triển ở mọi quy mô. Sản..."
140743794,2160247777559,Laptop Dell Vostro 3405 P132G002ABL (AMD R3-3250U/ 8GB DDR4/ HDD 1Tb/ 14 FHD/ Win11 + Office2021) - Hàng Chính Hãng,Dell,11999000,"Thiết kế chắc chắn
Laptop Dell Vostro 3405 P132G002ABL được thiết kế với tone màu đen truyền thống, các cạnh xung quanh được thiết kế vát gọn lại sẽ tạo cảm giác thanh thoát hơn, máy có trọng lượng..."
122194949,9123112494778,Laptop HP 15s-fq2602TU 4B6D3PA (Core i5-1135G7/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ 15.6 HD/ Win11) - Hàng Chính Hãng,HP,16190000,"Thiết kế mỏng nhẹ, đơn giản tiện dụng
Laptop HP 15s-fq2602TU 4B6D3PA hướng đến sự đơn giản, tiện lợi nhất cho người dùng với vẻ ngoài thanh lịch và kiểu dáng mỏng nhẹ, vô cùng di động, dễ dàng để bạn..."
144405307,3670727608589,Laptop HP 245 G8 53Y18PA (AMD R3-3250U/ 4GB/ 256GB SSD/ 14HD/ Win10) - Hàng Chính Hãng,HP,11129000,"Thiết kế đơn giản, bền bỉ
Laptop HP được làm từ chất liệu nhựa phủ gam màu xám bạc vừa trông sang trọng, thanh lịch vừa chắc chắn. Máy có trọng lượng nhẹ chỉ 1.47 kg, độ dày 19.9 mm, bạn có thể dễ..."
113577973,8108320591131,Máy tính xách tay Laptop Dell Latitude 3420 L3420I3SSD (Intel Core i3-1115G4 | 14 Inch HD | RAM 8GB | 256GB SSD NVMe | Intel UHD Graphics | Fedora Os) - Hàng chính hãng,Dell,16600000,"Thiết kế sang trọng
Laptop Dell Latitude 3420 L3420I3SSD được thiết kế đơn giản, sang trọng với  vỏ ngoài được phủ sơn màu đen và các cạnh bên được vát mỏng, các đường nét góc cạnh được bo tròn gọn..."
134840901,2798750348508,Laptop Acer Swift 3 Evo SF314-511-59LV (Core i5-1135G7/ 16GB/ 512GB SSD M.2 PCIE Gen3x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Acer,23990000,"Màn hình trực quan
Laptop Acer Swift 3 Evo SF314-511-59LV cho bạn đắm mình trong giải trí mà bạn đã chọn với viền siêu hẹp 5,1 mm cho tỷ lệ màn hình trên thân máy lên đến 85,73%. Với tuỳ chọn tối đa..."
97007191,1698396794821,Laptop HP ProBook 430 G8 2H0P0PA (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,25290000,"Thiết kế linh hoạt, cứng cáp
Laptop HP ProBook 430 G8 2H0P0PA với thiết kế cứng cáp, bảo mật dễ và nhiều tính năng được nâng cấp, chiếc laptop này voô cùng phù hợp với môi trường doanh nghiệp. Là một..."
102768938,2888469435826,Laptop HP ProBook 430 G8 (2H0N6PA) (i5 1135G7/4GB RAM/256GB SSD /13.3 FHD/FP/Win/Bạc) Hàng chính hãng,HP,19579000,"Laptop HP ProBook 430 G8 (2H0N6PA) (i5 1135G7/4GB RAM/256GB SSD /13.3 FHD/FP/Win/Bạc)
Thiết kế hiện đại cho phong cách làm việc hiện đại
Với thiết kế mới mẻ, mỏng nhẹ, máy tính xách tay (laptop) HP..."
113767720,4734696689789,Giá Đỡ Máy Tính Laptop Macbook Hợp Kim Nhôm Cao Cấp - Hàng Chính Hãng Tamayoko,Tamayoko,399000,"
Thiết kế gọn nhẹ, có thể tháo dời dễ mang điCác đầu tiếp xúc được gắn silicon êm mềm, không gây trầy xước máyTương thích với hầu hết mọi Macbook/Laptop từ 10-17inchChất liệu hợp kim nhôm độ bền..."
140758660,5992243785185,Laptop Dell Vostro 5515 K4Y9X1 (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,20809000,"Hiệu năng mạnh mẽ, xử lý nhanh chóng mọi tác vụ
Với sức mạnh đến từ AMD Ryzen 5 5500U Processor, Laptop Dell Vostro 5515 K4Y9X1 sẽ dễ dàng giải quyết công việc trong chớp mắt bởi xung nhịp được boost..."
135268243,3602895780089,Laptop HP 340s G7 36A43PA (Core i5-1035G1/ 8GB/ 256GB/ 14 FHD/ Win10) - Hàng Chính Hãng,HP,16990000,"Chiếc máy tính xách tay 340s G7 36A43PA của HP sở hữu bộ vi xử lý Intel i5 hiệu suất cao cùng Ram chạy đa nhiệm mượt mà và dung lượng lưu trữ SSD vừa đủ. Kết hợp với kiểu dáng thanh lịch, đây sẽ là..."
118528530,9158378723020,"Laptop Dell Vostro 3500 V5I3001W( Intel Core i3-1115G4/15.6"" FHD Anti-Glare/8GB/256GB/Win10/3 cell - 45Whr ) - Hàng Chính Hãng",Dell,15590000,"

Laptop Dell Vostro 3500 V5I3001W( Intel Core i3-1115G4/15.6"" FHD Anti-Glare/8GB/256GB/Win10/3 cell - 45Whr )

Trải nghiệm năng suất không bị gián đoạn
Màn hình khuếch đại: Một tấm nền FHD rực rỡ..."
