name,mileage,stars,reviews,price,dealer_name
2014 BMW X3 xDrive28i,"71,126 mi.",3.9,160 ,"$19,534",City Mitsubishi
2020 BMW M340 i xDrive,"12,167 mi.",4.6,"1,559 ","$54,990",AutoNation Honda Dulles
2018 BMW M5 Base,"24,379 mi.",4.4,124 ,"$82,998",Beemer Haus
2018 BMW M2 Base,"26,000 mi.",4.5,614 ,"$50,995",United BMW
2019 BMW X7 xDrive40i,"27,987 mi.",4.4,726 ,"$71,990",BMW of Alexandria
2018 BMW X1 sDrive28i,"24,642 mi.",4.6,672 ,"$29,558",Auto Web Expo
2021 BMW X3 xDrive30i,"12,872 mi.",4.7,803 ,"$45,119",Tulley Automotive Group
2017 BMW 340 i xDrive,"47,131 mi.",4.1,17 ,"$32,995",Sawyer Lyons Buick GMC of Randolph
2019 BMW M240 i,"20,539 mi.",4.8,741 ,"$46,432",Lauderdale BMW of Pembroke Pines
2018 BMW X1 xDrive28i,"7,855 mi.",4.7,271 ,"$33,899",BMW of Ramsey
2018 BMW 530 i,"14,397 mi.",4.4,72 ,"$39,479",EchoPark Automotive Long Beach
2018 BMW M3 Base,"42,953 mi.",4.8,374 ,"$68,615",Kia of Augusta
2014 BMW 428 i xDrive,"79,615 mi.",4.2,68 ,"$22,981",Showroom Auto Sales
2018 BMW X5 M Base,"34,882 mi.",2.7,20 ,"$59,950",26 Motors Long Island
2007 BMW 750 Li,"69,096 mi.",4.7,"1,279 ","$11,010",Jeff Wyler Toyota of Clarksville
2019 BMW 740 i,"31,281 mi.",4.4,542 ,"$55,984",Advantage BMW Midtown
2019 BMW X3 sDrive30i,"24,647 mi.",4.5,97 ,"$41,600",Passport Motors
2016 BMW 428 i,"49,265 mi.",3.6,387 ,"$23,495",Certified Luxury Motors
2018 BMW 330 i xDrive,"14,506 mi.",4.7,706 ,"$38,355",BMW of Warwick
2019 BMW 330 i xDrive,"24,474 mi.",4.8,"1,769 ","$42,543",Autobahn USA
