idsp,sku,name,brand_name,price,short_description
72750441,1525769524578,Bàn Phím Cơ mini không dây Bluetooth 5.0 Ajazz AK33 White Chống ồn - hàng nhập khẩu,Ajazz,930000,"- Bàn Phím Cơ mini không dây Bluetooth 5.0 Ajazz AK33 Chống ồn Gọn gàng , đơn giản và tinh tế- Switch 82 Phím Chống ồn- Led trắng đơn sắc đơn giản sang trọng không màu mè- Chất liệu kim loại- Kết nối..."
124742926,8683178117998,Apple MacBook Air M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,30590000,"
Nội dung tính năng
MacBook Air là máy tính xách tay mỏng và nhẹ nhất của Apple – nay thay đổi ngoạn mục với chip Apple M1 mạnh mẽ. Tạo ra một cú nhảy vọt về hiệu năng CPU và đồ họa, cùng thời lượng..."
125013938,5244909000196,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,35990000,"


Nội dung tính năng
Macbook Pro 13 inch thay đổi ngoạn mục nhờ chip Apple M1, với sức mạnh xử lý tăng thêm đến 2.8x, (1) tốc độ xử lý đồ họa nhanh hơn 5x1 cùng thời lượng pin lên đến 20 giờ – thời..."
143022287,3226775600659,Laptop Asus ZenBook Flip S UX371EA-HL725WS (Core i7-1165G7/ 16GB LPDDR4x/ 1TB SSD/ 13.3 OLED 4K UHD Touch/ Win11) - Hàng Chính Hãng,Asus,39759000,"Thiết kế đẹp mắt, hiện đại
Laptop Asus ZenBook Flip S UX371EA-HL725WS là 1 chiếc ultrabook có thiết kế nhẹ nhàng với lớp vỏ được phủ lớp sơn đen nhám và các cạnh vát kim cương màu đồng xung quanh..."
116629798,5037884571283,"Đế tản nhiệt laptop máy tính 3, 6 quạt có đèn LED cực đẹp, chạy êm, làm mát hiệu quả thích hợp cho nhiều loại laptop tặng kèm móc khóa 5TECH",OEM,249000,"Đế tản nhiệt laptop máy tính có đèn LED cực đẹp, chạy êm, làm mát hiệu quả thích hợp cho nhiều loại laptop tặng kèm móc khóa 5TECH
Lưu ý: Nên cắm trực tiếp tản nhiệt vào ổ điện qua củ sạc điện thoại..."
108591561,7704951705268,"Laptop HP 340s G7 224L1PA i3 1005G1 | 4GB RAM | 512GB SSD | 14"" FHD | Win 10 | Xám - Hàng Chính Hãng",HP,13890000,"
 
 
  
   Thông số kỹ thuật:
   RAM: 4GB(1 x 4GB) DDR4 2666Mhz (2 khe)
   Ổ cứng: 512GB PCIe NVMe SSD
   Màn hình: 14.0 inch FHD (1920 x 1080), IPS, anti-glare, 250 nits, 45% NTSC
   Pin: 3-cell, 41..."
135093811,8466124629038,Laptop Dell Inspiron 15 3511 P112F001ABL (Đen) - Hàng chính hãng,Dell,15190000,"Laptop Dell Inspiron 15 3511 P112F001ABL với thiết kế thanh lịch, mạnh mẽ và mang trong mình một hiệu năng ổn định đủ giải quyết tốt các tác vụ văn phòng cơ bản đến nghe nhạc, xem phim giải trí hàng..."
142795843,5497778605129,Laptop Dell Vostro 5415 V4R55500U015W (AMD R5-5500U/ 8GB/ 512GB SSD/ 14 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,19239000,"
Hiệu năng mạnh mẽ, card đồ hoạ chất lượng
Laptop Dell Vostro 5415 V4R55500U015W giúp xử lý mượt mà các vấn đề từ cơ bản đến nâng cao nhờ con chip AMD Ryzen 5. Các tác vụ phục vụ công việc cho bạn..."
120782190,9168518423896,"Giá đỡ / Đế đỡ tản nhiệt dành cho laptop, macbook, máy tính bảng gấp gọn tiện dụng + tặng kèm túi đựng, ( Giao màu ngẫu nhiên )- Hàng chính hãng",MAWA,170000,"Giá đỡ / Đế đỡ tản nhiệt dành cho laptop, macbook, máy tính bảng gấp gọn tiện dụng ( Giao màu ngẫu nhiên )- Hàng chính hãng
THÔNG TIN SẢN PHẨM
- Màu sắc : Shop giao màu ngẫu nhiên ( Trắng bạc ,Hồng,..."
129937277,6794012186052,Laptop Dell Vostro 3510 7T2YC1 (Core i5-1135G7/ 8GD4/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,20990000,"Thiết kế &amp; ngoại hình
Laptop Dell Vostro 3510 7T2YC1 có thiết kế đơn giản- bền bỉ sẽ là 2 tính từ phù hợp nhất để miêu tả chung về thiết kế của Dell Inspiron 3510. Vỏ máy được bao phủ bởi một lớp..."
